Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
SMTC,Semtech Corp,3598898000,55.22,0.95,31870000,1.66,0,0.00%
SNV,Synovus Financial Corp,3760901000,10.68,2.27,563780000,1.67,1.32,5.17%
SNX,Synnex Corp,6814116000,10.48,12.68,500710000,1.51,0,0.00%
SON,Sonoco Products Company,4992702000,14.64,3.34,291790000,0.78,1.72,3.46%
SR,Spire Inc,2891229000,15.32,3.61,184600000,0.13,2.49,4.43%
SRC,Spirit Realty Capital Inc,3145903000,9.68,0.68,175270000,1.04,2.5,8.19%
SRCL,Stericycle Inc,5829297000,25.43,2.5,-346800000,1.2,0,0.00%
STL,Sterling Bancorp,2570999000,9.96,1.26,427040000,1.69,0.28,2.12%
STLD,Steel Dynamics Inc,6651742000,12.33,2.48,671100000,1.42,1,3.16%
STOR,Store Capital Corpstore Capital,6352240000,13.3,1.15,284980000,0.96,1.44,5.54%
STRA,Strayer Education,1873620000,11,7.58,81140000,0.41,2.4,2.85%
SVC,Service Properties Trust,1258352000,2.29,-0.28,259750000,2.03,0.04,0.52%
SWX,Southwest Gas Corp,3625529000,16.05,4.04,213940000,0.2,2.28,3.52%
SXT,Sensient Technologies Corp,2772689000,23.16,2.81,82050000,1.02,1.56,2.38%
SYNA,Synaptics Inc,2681235000,17.53,4.38,118800000,1.19,0,0.00%
SYNH,Syneos Health Inc,5656276000,19.62,2.72,131260000,1.74,0,0.00%
TCBI,Texas Capital Bncsh,2222719000,16.48,2.67,322870000,2.14,0,0.00%
TCF,TCF Financial Corp,4113027000,9.5,3.13,295470000,1.91,1.4,5.18%
TCO,Taubman Centers,2063133000,10.47,2.71,229480000,-0.07,0,0.00%
TDC,Teradata Corp,2006690000,50.27,0.37,-20000000,1,0,0.00%
TDS,Telephone and Data Systems,1908743000,11.89,1.4,121000000,1.22,0.68,4.07%
TECH,Bio-Techne Cp,9858381000,68.16,3.78,229300000,0.98,1.28,0.50%
TEX,Terex Corp,1715274000,90,0.78,54400000,1.58,0,0.00%
TGNA,Tegna Inc,2644976000,9.3,1.29,286240000,1.29,0.28,2.32%
THC,Tenet Healthcare Corp,2656856000,5.99,4.17,-232000000,2.41,0,0.00%
THG,The Hanover Insurance Group,3621024000,11.4,8.18,425100000,0.88,2.6,2.71%
THO,Thor Industries,4802313000,18.56,4.74,222970000,2.43,1.64,1.89%
THS,Treehouse Foods,2192726000,15.17,2.6,-361000000,0.66,0,0.00%
TKR,Timken Company,4366197000,13.76,4.11,362100000,1.8,1.12,1.93%
TMHC,Taylor Morrison Home Corp,2924622000,6.88,3.08,254650000,1.72,0,0.00%
TOL,Toll Brothers Inc,5500317000,13.42,3.31,590010000,1.65,0.44,1.01%
TPH,Tri Pointe Homes Inc,2119246000,7.59,2.23,207190000,1.6,0,0.00%
TPX,Tempur-Pedic International Inc,4441380000,18.53,4.69,189500000,2.08,0,0.00%
TR,Tootsie Roll Industries,2010007000,31.45,0.95,64920000,-0.04,0.36,1.19%
TREE,Lendingtree Inc,4514704000,144.02,2.33,17830000,2.29,0,0.00%
TREX,Trex Company,8273081000,49.98,1.45,144740000,1.58,0,0.00%
TRIP,Tripadvisor Inc,2608155000,0,-0.47,126000000,1.4,0,0.00%
TRMB,Trimble Navigation,12130471000,26.75,1.79,514300000,1.61,0,0.00%
TRMK,Trustmark Corp,1466317000,9.86,2.11,150460000,1.08,0.92,3.98%
TRN,Trinity Industries,2143963000,28.51,0.65,137600000,1.59,0.76,4.05%
TTC,Toro Company,8742559000,28.63,2.86,273980000,0.72,1,1.23%
TTEK,Tetra Tech Inc,5483104000,31.41,3.23,158670000,0.85,0.68,0.67%
TXRH,Texas Roadhouse Inc,4976961000,88.23,0.88,174450000,0.97,0,0.00%
UBSI,United Bkshs Inc,3320431000,11.11,2.26,260100000,1.41,1.4,5.47%
UE,Urban Edge Properties,1112160000,8.97,1.15,109520000,1.46,0,0.00%
UFS,Domtar Corp,1319113000,16.95,1.37,84000000,1.88,0.91,3.81%
UGI,Ugi Corp,6743350000,13.5,2.44,256200000,0.93,1.32,4.08%
UMBF,Ump Financial Corp,2918898000,13.79,3.92,243600000,1.04,1.24,2.04%
UMPQ,Umpqua Holdings Corp,2693315000,11.25,1.06,354100000,1.24,0.84,6.87%
UNVR,Univar Inc,2823336000,12.99,1.29,-100200000,2,0,0.00%
URBN,Urban Outfitters Inc,2207519000,227.5,0.1,168100000,1.54,0,0.00%
UTHR,United Therapeutic,5784662000,12.49,9.74,-104500000,0.71,0,0.00%
VAC,Marriot Vacations Worldwide Cor,3963328000,21.36,4.35,138000000,2.38,0,0.00%
VC,Visteon Corp,2460185000,187.27,0.44,70000000,2.03,0,0.00%
VLY,Valley National Bancorp,3048675000,8.02,0.93,309790000,1.27,0.44,5.83%
VMI,Valmont Industries,3031199000,18.43,7.64,153770000,1.24,1.8,1.27%
VSAT,Viasat Inc,2281567000,0,-0.02,-210000,1.21,0,0.00%
VSH,Vishay Intertechnology,2365159000,20.59,0.78,163940000,1.36,0.38,2.32%
VVV,Valvoline Inc,3691449000,12.61,1.42,208000000,1.44,0.45,2.27%
WAFD,Washington Federal,1628436000,10.76,1.98,173440000,0.95,0.88,4.09%
WBS,Webster Financial Corp,2871714000,11.32,2.71,382720000,1.65,1.6,5.03%
WEN,Wendys Company,4991141000,46.42,0.48,136940000,1.05,0.2,0.90%
WERN,Werner Enterprise,2658853000,16.75,2.26,166940000,0.8,0.36,0.94%
WEX,Wex Inc,5555970000,18.12,7.37,99010000,1.86,0,0.00%
WH,Wyndham Hotels & Resorts Inc,4362730000,26.54,2.51,157000000,1.73,0.32,0.68%
WING,Wingstop Inc,3549216000,122.55,1,20480000,1.06,0.56,0.47%
WOR,Worthington Industries,2688349000,22.89,2.07,78800000,1.28,1,2.02%
WPX,Wpx Energy Inc,2406643000,10.82,0.38,256000000,3.4,0,0.00%
WRI,Weingarten Realty Investors,2044524000,8.38,1.9,315440000,1.27,0.72,4.51%
WSM,Williams-Sonoma,7330316000,16.65,5.69,356060000,1.63,1.92,2.04%
WSO,Watsco Inc,8701204000,33.8,6.66,245950000,0.79,7.1,3.14%
WTFC,Wintrust Finl Corp,2784433000,10.31,4.49,355700000,1.61,1.12,2.32%
WTRG,Essential Utilities Inc,10284252000,24.79,1.71,224540000,0.47,1,2.39%
WW,Weight Watchers International Inc,1504404000,12.79,1.73,119620000,2.88,0,0.00%
WWD,Woodward Inc,4883419000,17.41,4.41,259600000,1.51,0.32,0.42%
WWE,World Wrestling Entertainment,2903789000,21.56,1.7,77060000,1.42,0.48,1.29%
WYND,Wyndham Destinations Inc,2751902000,99.03,1.06,507000000,1.84,2,6.20%
X,United States Steel Corp,2166542000,0,-4.25,-630000000,2.39,0.04,0.41%
XEC,Cimarex Energy Company,2518545000,11,2.16,-124620000,2.4,0.88,3.57%
XPO,Xpo Logistics Inc,8149018000,41.3,2.14,419000000,2.33,0,0.00%
Y,Alleghany Corp,7934144000,74.77,7.37,857800000,0.67,0,0.00%
YELP,Yelp Inc,1435581000,0,-0.17,40880000,1.44,0,0.00%
