Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
BHLB,Berkshire Hills Bancorp,638277000,12.23,1.19,97450000,1.15,0.48,3.79%
BIG,Big Lots,1973056000,8.43,6.22,242460000,2.51,1.2,2.39%
BJRI,Bj's Restaurants Inc,633643000,0,-1,45240000,2.08,0,0.00%
BKE,Buckle Inc,1166523000,11.77,1.96,104430000,1.21,1.2,5.08%
BKU,BankUnited Inc,2295266000,11.64,2.15,313100000,1.4,0.92,3.70%
BLMN,Bloomin' Brands Inc,1259801000,0,-0.4,130570000,1.76,0.3,2.08%
BMI,Badger Meter,2142503000,44.01,1.67,47180000,0.75,0.72,0.98%
BNED,Barnes & Noble Education Inc C,105047000,0,-0.69,-38250000,2.19,0,0.00%
BOOM,Dynamic Materials,516647000,42.54,0.79,34040000,1.15,0,0.00%
BOOT,Boot Barn Holdings Inc,964656000,27.62,1.21,47950000,2.89,0,0.00%
BPFH,Boston Pvt Finl Hld,512909000,12.51,0.49,80030000,1.06,0.24,3.85%
BRC,Brady Corp,1988671000,16.54,2.32,112370000,0.75,0.88,2.30%
BRKL,Brookline Bancorp,750914000,17.92,0.58,87720000,0.73,0.46,4.83%
BRKS,Brooks Automation,3567771000,45.1,1.04,437420000,1.58,0.4,0.83%
BSIG,Brightsphere Investment Group Plc,1085558000,7.86,1.73,223900000,1.65,0.04,0.30%
CADE,Cadence Bancorp Cl A,1408266000,24.49,0.45,201960000,1.98,0.2,1.79%
CAKE,Cheesecake Fact,1361132000,85.44,0.34,127290000,1.5,0,0.00%
CAL,Caleres Inc,315049000,0,-0.75,62820000,1.99,0.28,3.37%
CALM,Cal-Maine Foods IN,1916252000,42.75,0.91,18390000,-0.22,0,0.00%
CAMP,Calamp Corp,258798000,0,-0.12,-79300000,2.43,0,0.00%
CASH,Meta Financial Group,1000056000,9.56,2.56,97000000,1.08,0.2,0.69%
CATM,Cardtronics Inc,797917000,10.76,1.65,48270000,1.57,0,0.00%
CATO,Cato Corp,145665000,0,-1.38,35900000,0.62,0,0.00%
CBB,Cincinnati Bell Inc,764776000,0,-0.6,-66600000,0.65,0,0.00%
CBU,Community Bank System,3047998000,17.51,3.2,169060000,0.8,1.68,2.95%
CCOI,Cogent Comm Hlds,2652969000,59.68,0.93,37520000,0.1,2.82,5.03%
CCRN,Cross Ctry Hlthcr,267846000,25.52,0.27,-57710000,1.12,0,0.00%
CCS,Century Communities Inc,1374728000,8.19,4.38,112990000,1.88,0,0.00%
CEIX,Consol Energy Inc,100491000,40.8,0.1,76000000,2.73,0,0.00%
CENT,Central Garden,2162719000,19.24,2.06,92790000,0.7,0,0.00%
CENTA,Central Garden & Pet,1972374000,17.52,2.06,92790000,0.76,0,0.00%
CENX,Century Aluminum C,627290000,0,-0.66,-80800000,1.98,0,0.00%
CEVA,Ceva Inc,929570000,170.21,0.24,30000,1.43,0,0.00%
CHCO,City Holding Company,960999000,10.66,5.53,89350000,0.64,2.28,3.80%
CHCT,Community Healthcare Trust Inc,1068122000,24.13,0.58,8380000,0.57,1.69,3.60%
CHEF,The Chefs Warehouse,511029000,0,-0.5,24190000,1.97,0,0.00%
CHRS,Coherus Bio,1225711000,7.14,2.4,89830000,1.85,0,0.00%
CHS,Chico's Fas,125887000,0,-0.78,-12750000,1.24,0,0.00%
CHUY,Chuy's Holdings Inc,437315000,33.39,0.66,6220000,2.01,0,0.00%
CIR,Circor International,539919000,14.44,1.87,-133940000,2.71,0,0.00%
CKH,Seacor Smit Inc,619760000,44.65,0.68,26770000,1,0,0.00%
CLB,Core Laboratories N.V.,632719000,14.17,0.99,101980000,3.15,0.04,0.28%
CLDT,Chatham Lodging Trust [Reit],352260000,9,-1,18700000,1.78,0,0.00%
CLF,Cleveland-Cliffs Inc,3313709000,399,0.02,292800000,2.29,0,0.00%
CLI,Mack-Cali Realty Corp,991482000,7.64,-1.04,111860000,1.01,0.8,7.32%
CLW,Clearwater Paper Corp,612667000,17.12,2.11,-5600000,1.66,0,0.00%
CMO,Capstead Mortgage Corp,511286000,8.4,0.6,-35340000,1.33,0.6,11.32%
CMTL,Comtech Telecom Company,374410000,15.99,0.9,7020000,1.91,0.4,2.67%
CNMD,C O N M E D Cp,2374821000,35.78,1.96,28620000,1.22,0.8,0.96%
CNSL,Consolidated Communications Holdings Inc,360907000,10.98,0.43,-20380000,1.36,0,0.00%
CNXN,PC Connection Inc,1184030000,17.52,2.61,82110000,0.91,0,0.00%
COHU,Cohu Inc,865308000,0,0,-69700000,1.83,0,0.00%
COKE,Coca Cola Bot Cons,2166168000,19.34,12.07,11380000,1.01,1,0.43%
COLB,Columbia Banking Sys,1970955000,12.51,2.06,194450000,1.01,1.12,4.07%
CONN,Conn's Inc,291787000,0,-0.33,56000000,2.37,0,0.00%
COOP,Mr.Cooper Group Inc,1943505000,3.52,6.34,274000000,1.26,0,0.00%
CORE,Core Mark Holding,1231011000,15.31,1.79,57700000,0.43,0.48,1.76%
CORT,Corcept Therapeutics,1982975000,18.22,0.94,94180000,0.72,0,0.00%
CPE,Callon Petroleum Company,202317000,0.86,5.5,67930000,2.93,0,0.00%
CPF,Central Pacific Financial Company,387399000,9.8,1.65,58320000,1.22,0.92,6.69%
CPK,Chesapeake Utilities Corp,1594639000,25.02,3.83,65150000,0.22,1.76,1.82%
CPRI,Capri Holdings Ltd,3336156000,11.24,1.89,-223000000,1.81,0,0.00%
CPS,Cooper Std Hld Inc,272363000,0,-10.4,67530000,2.45,0,0.00%
CPSI,Computer Programs,406336000,19.02,1.48,19700000,0.61,0.4,1.43%
CRMT,America's Car-Mart,580689000,10.49,8.01,51340000,1.37,0,0.00%
CROX,Crocs Inc,3644163000,23.55,1.92,119500000,1.74,0,0.00%
CRS,Carpenter Technology Corp,828791000,21.17,0.76,1500000,2.11,0.8,4.63%
CRVL,Corvel Cp,1639881000,39.43,2.29,47380000,0.89,0,0.00%
CRY,Cryolife,657594000,285.83,0.06,1720000,1.33,0,0.00%
CSGS,C S G Sys Intl,1266455000,13.66,2.79,82770000,0.87,0.94,2.46%
CSII,Cardiovascular Syst,1451065000,0,-0.78,-27240000,1.11,0,0.00%
CTB,Cooper Tire & Rubber Company,1894021000,24.67,1.42,96400000,1.56,0.42,1.12%
CTRE,Caretrust REIT Inc,1651942000,12.33,0.51,46360000,1.01,1,5.80%
CTS,Cts Corp,853811000,25.28,1.01,36150000,0.8,0.16,0.60%
CUB,Cubic Corp,1834313000,0,0.5,49690000,0.99,0.27,0.46%
CUBI,Customers Bancorp,431112000,4.49,2.36,79330000,1.56,0,0.00%
CUTR,Cutera Inc,336045000,0,-1.87,-12350000,1.46,0,0.00%
CVBF,Cvb Financial Corp,2358031000,13.15,1.3,207830000,0.65,0.72,4.14%
CVCO,Cavco Inds Inc,1634074000,23.37,7.48,75070000,1.54,0,0.00%
CVET,Covetrus Inc,3184525000,35.76,0.7,-1019000000,2.55,0,0.00%
CVGW,Calavo Growers Inc,1174367000,39.65,1.65,36650000,0.96,1.1,1.65%
CWT,California Water Service Group Holding,2241681000,56.44,0.81,63120000,-0.02,0.85,1.87%
CXW,Corecivic Inc,756068000,2.48,1.36,188890000,1.11,0,0.00%
CYH,Community Health Systems,712929000,0,-0.63,-675000000,1.93,0,0.00%
CYTK,Cytokinetics,1092122000,0,-2.36,-121690000,1.48,0,0.00%
DAKT,Daktronics Inc,177345000,133,0.03,490000,0.64,0,0.00%
DBD,Diebold Nixdorf Inc,507218000,8.53,0.45,-341300000,3.26,0,0.00%
DBI,Designer Brands Inc,329797000,0,-2.49,94500000,1.87,0,0.00%
DCOM,Dime Community Bncsh,419404000,9.01,1.03,36190000,1.1,0.56,4.41%
DDD,3D Systems Corp,738924000,0,-0.52,-69880000,1.49,0,0.00%
DEA,Easterly Government Properties,1648724000,17.29,0.1,7210000,0.47,1.04,5.03%
DFIN,Donnelly Financial Solutions Inc,440115000,18.51,0.71,37600000,2.03,0,0.00%
DGII,Digi Intl Inc,436411000,35.1,0.42,9960000,1.81,0,0.00%
DHC,Diversified Healthcare Trust,731699000,2.71,-0.4,-88230000,0.89,0.04,1.30%
DIN,Dineequity Inc,885148000,17.71,3.91,104350000,1.86,0,0.00%
DIOD,Diodes Inc,3036260000,23.41,2.46,153250000,1.13,0,0.00%
DLX,Deluxe Corp,911667000,4.02,5.52,-199900000,1.5,1.2,5.51%
DNOW,Now Inc,460490000,0,-0.2,-97000000,1.91,0,0.00%
DORM,Dorman Products Inc,2851712000,30.82,2.32,83760000,0.81,0,0.00%
DRH,Diamondrock Hospitality Company,993590000,12.58,0.19,183490000,1.68,0,0.00%
DRQ,Dril-Quip,842958000,0,-0.2,1720000,1.59,0,0.00%
DSPG,D S P Group Inc,320993000,74.22,0.18,-1190000,0.87,0,0.00%
DXPE,Dxp Enterprise,286064000,12.41,1.26,36040000,2.76,0,0.00%
EAT,Brinker International,2015910000,24.83,1.82,24400000,2.54,0,0.00%
EBIX,Ebix Inc,568181000,4.84,3.77,96720000,2.06,0.3,1.63%
ECHO,Echo Global Logistic,790051000,34.28,0.72,14850000,1.27,0,0.00%
ECOL,US Ecology Inc,951287000,25.95,1.17,33140000,1.07,0,0.00%
ECPG,Encore Capital Group,1029486000,4.73,7.35,167870000,1.66,0,0.00%
EGBN,Eagle Bancorp Inc,954623000,7.3,3.94,142940000,1.06,0.88,2.97%
EGHT,8X8 Inc,1894974000,0,-1.3,-172370000,0.96,0,0.00%
EGOV,Nic Inc,1509313000,23.4,0.74,50430000,0.32,0.36,1.60%
EGRX,Eagle Pharmaceuticals,628371000,86.6,0.52,14310000,0.71,0,0.00%
EHTH,Ehealth Inc,1769025000,22.68,3.27,66890000,-0.45,0,0.00%
EIG,Employers Holdings Inc,930703000,14.57,2.16,157100000,0.14,1,3.12%
ELY,Callaway Golf Company,1431293000,32.6,0.48,79410000,2,0,0.00%
ENDP,Endo Int'l Plc,1087030000,1.72,2.94,-422640000,1.32,0,0.00%
ENSG,The Ensign Group IN,3210666000,20.66,2.53,110530000,0.92,0.2,0.33%
ENTA,Enanta Pharmaceutica,881562000,550.13,0.08,46380000,0.43,0,0.00%
ENVA,Enova International Inc,486277000,3.03,3.43,36610000,1.76,0,0.00%
EPAC,Actuant Corp,1068626000,105.41,0.17,720000,1.38,0.04,0.22%
EPAY,Bottomline Tech IN,1804597000,120.94,0.33,-9230000,1.25,0,0.00%
EPRT,Essential Properties Realty Trust Inc,1769967000,26.95,0.62,41840000,1.19,0.92,5.44%
ESE,Esco Technologies Inc,2199430000,28.01,2.96,81040000,1,0.32,0.38%
ETH,Ethan Allen Interiors Inc,416381000,33.33,0.49,8900000,1.24,0.84,5.05%
EVTC,Evertec Inc,2477836000,20.73,1.64,103470000,1.09,0.2,0.58%
EXLS,Exlservice Holdings,2545770000,29.48,2.48,67660000,1.07,0,0.00%
EXPO,Exponent Inc,3696652000,47.55,1.52,82460000,0.25,0.76,1.06%
EXTN,Exterran Corp,125951000,0,-1.69,-102380000,1.11,0,0.00%
EXTR,Extreme Networks,550668000,0,-0.21,-126850000,1.9,0,0.00%
EZPW,Ezcorp Inc,252211000,9.2,0.51,2540000,1.65,0,0.00%
FARO,Faro Tech Inc,1093948000,0,-0.21,-62150000,1.37,0,0.00%
FBC,Flagstar Bancorp,1708320000,3.88,7.71,218000000,1.73,0.2,0.67%
FBK,Fb Financial Corp,939655000,9.15,2.38,83810000,1.4,0.36,1.23%
FBM,Foundation Building Materials Inc,627351000,13.68,1.08,40240000,1.63,0,0.00%
FBP,First Bancorp,1415846000,13.54,0.46,167380000,1.43,0.2,3.08%
FCF,First Commonwealth Financial Corp,839037000,10.52,0.86,105330000,1.1,0.44,5.15%
FCPT,Four Corners Property Trust IN,1793593000,17.68,1.07,72620000,0.77,1.22,4.78%
FDP,Fresh Del Monte Produce,1039135000,28.45,0.78,66500000,0.68,0.2,0.91%
FELE,Franklin Electric Company,2757603000,28.93,1.94,95480000,1.1,0.62,1.04%
FF,Futurefuel Corp,524916000,5.06,2.33,88180000,1.33,0.24,2.00%
FFBC,First Finl Bncp [Oh],1377824000,8.25,1.67,198080000,1.25,0.92,6.54%
FHB,First Hawaiian Inc,2174292000,10.91,1.5,284390000,1.27,1.04,6.21%
FIX,Comfort Systems USA,1626129000,12.32,3.38,114320000,1.11,0.42,0.94%
FIZZ,Natl Beverage Cp,3771595000,25.72,3.13,129970000,1.44,0,0.00%
FLGT,Fulgent Genetics Inc,756112000,192.17,0.18,-410000,1.68,0,0.00%
FLOW,SPX Flow Inc,1802681000,32.57,1.39,-95100000,1.84,0,0.00%
FMBI,First Midwest Bncp,1410536000,9.61,1.25,199740000,1.27,0.56,4.54%
FN,Fabrinet,2246938000,18.73,3.2,113480000,1.02,0,0.00%
FOE,Ferro Corp,1065973000,14.14,0.9,6040000,1.77,0,0.00%
FORM,Formfactor Inc,2220070000,22.38,1.06,39350000,1.27,0,0.00%
FORR,Forrester Resrch,715667000,50.49,0.71,-9570000,1.03,0,0.00%
FOSL,Fossil Group,313437000,0,-1.99,-52370000,1.38,0,0.00%
FRGI,Fiesta Restaurant Gp,229719000,0,-0.25,-84390000,1.8,0,0.00%
FSP,Franklin Street Properties,450778000,4.72,0.02,6480000,1.01,0.36,8.57%
FSS,Federal Signal Corp,1734744000,16.51,1.76,108500000,1.14,0.32,1.11%
FUL,H. B. Fuller Company,2377269000,17.01,2.66,130820000,1.77,0.65,1.41%
FWRD,Foward Air Corp,1720832000,26.56,2.26,87100000,1.17,0.72,1.17%
GBX,Greenbrier Companies,864287000,13.67,1.97,48970000,1.59,1.08,4.09%
GCI,Gannett CO Inc,174470000,7.94,0.16,-119840000,1.65,0.38,29.69%
GCO,Genesco Inc,278139000,0,-0.46,61380000,1.58,0,0.00%
GCP,Gcp Applied Technologies Inc C,1598152000,28.58,0.74,46300000,0.97,0,0.00%
GDOT,Green Dot Corp,2993102000,38.54,1.44,99900000,1.07,0,0.00%
GEOS,Geospace Technologie,71463000,0,-1.18,-150000,1.98,0,0.00%
GES,Guess Inc,762048000,0,-0.38,95980000,1.74,0.45,3.76%
GFF,Griffon Corp,1213363000,13.86,1.58,37290000,2.23,0.3,1.37%
GHL,Greenhill & CO Inc,244256000,26.63,0.49,10980000,1,0.2,1.55%
GIII,G-III Apparel Gp,701689000,8.14,1.68,143840000,2.37,0,0.00%
GKOS,Glaukos Corp,2563898000,0,-1.21,15420000,1.69,0,0.00%
GLT,Glatfelter,630913000,16.15,0.85,-21540000,1.55,0.54,3.80%
GLUU,Glu Mobile Inc,1255770000,0,-0.07,8870000,0.58,0,0.00%
GME,Gamestop Corp,764350000,0,-2.23,-470900000,1.08,0,0.00%
GMS,Gms Inc,971817000,7.49,3.02,23380000,1.95,0,0.00%
GNL,Global Net Lease Inc,1287660000,8.08,0.24,46480000,1.13,1.6,11.12%
GPI,Group 1 Automotive,1962046000,9.51,11.46,174000000,2.22,0,0.00%
GPMT,Granite Point Mortgage Trust Inc,376498000,34.95,0.19,70210000,1.24,0.8,11.73%
GPOR,Gulfport Energy Corp,43584000,0.4,0.67,-2002360000,6.41,0,0.00%
GPRE,Green Plains Inc,550482000,0,-1.72,-166860000,2.03,0,0.00%
GTLS,Chart Industries IN,3113868000,33.31,2.55,46400000,1.68,0,0.00%
GTY,Getty Realty Corp,1119805000,14.47,1.16,49720000,0.76,1.48,5.66%
GVA,Granite Construction Inc,894155000,0,0,42410000,1.48,0.52,2.72%
GWB,Great Western Bancorp Inc,712431000,7.95,2.3,167370000,1.19,0.04,0.31%
HA,Hawaiian Hlds Inc,642578000,0,-1.84,223980000,2.4,0,0.00%
HAFC,Hanmi Financial Cp,271314000,8.87,0.88,32790000,1.36,0.32,3.62%
HAYN,Haynes Intl Inc,202921000,38.46,0.41,9750000,1.35,0.88,5.45%
HCC,Warrior Met Coal Inc,735543000,89.06,1.23,301700000,1.15,0.2,1.39%
HCI,Homeowners Choice,375516000,16.76,2.83,26580000,0.71,1.6,3.40%
HFWA,Heritage Financial,751575000,18.91,1.09,67560000,0.75,0.8,3.82%
HI,Hillenbrand Inc,2203070000,11.35,2.57,121400000,1.46,0.85,2.88%
HIBB,Hibbett Sports Inc,649021000,9.87,4.09,27340000,1.66,0,0.00%
HLIT,Harmonic Inc,595291000,0,0.04,-5920000,0.85,0,0.00%
HLX,Helix Energy Solutions Group,361888000,47,0.05,57780000,3.56,0,0.00%
HMN,Horace Mann Educators Corp,1418961000,12.07,2.84,184440000,0.54,1.2,3.50%
HMST,Homestreet Inc,685297000,9.85,2.33,17510000,1.07,0.6,1.99%
HMSY,Hms Hlds Cp,2354136000,30.66,0.87,87220000,0.82,0,0.00%
HNGR,Hanger Inc,688866000,23.04,0.77,27530000,2.46,0,0.00%
HOPE,Hope Bancorp Inc,982318000,7.75,1.02,171040000,1.67,0.56,7.03%
HP,Helmerich & Payne,1536935000,83.65,0.17,-33660000,2.02,1,6.99%
HSC,Harsco Corp,1056525000,19.07,0.71,503920000,2.45,0,0.00%
HSII,Heidrick & Struggl,441989000,13.08,2.05,46870000,1.03,0.6,2.63%
HSKA,Heska Corp,1094996000,0,-0.42,-1470000,1.68,0,0.00%
HSTM,Healthstream Inc,586825000,41.32,0.47,15770000,0.34,0,0.00%
HT,Hersha Hospitality Trust,195884000,13.42,-2.9,-3670000,2.37,0,0.00%
HTLD,Heartland Express,1488683000,22.94,0.81,72970000,0.55,0.08,0.44%
HUBG,Hub Group Inc A,1693570000,18.41,2.69,107170000,1.07,0,0.00%
HVT,Haverty Furniture Companies,476095000,25.16,0.28,21870000,1.69,0.8,3.16%
HWKN,Hawkins Inc,503030000,14.67,3.14,28370000,0.91,0.93,1.97%
HZO,Marinemax Inc,647975000,8.87,2.6,35990000,1.91,0,0.00%
IBP,Installed Building Products,2776074000,25.13,3.81,68160000,1.75,0,0.00%
IBTX,Independent Bank Group,2214929000,10.38,4.82,192740000,1.96,1,1.95%
ICHR,Ichor Holdings Ltd,544374000,15.73,1.45,10730000,2.31,0,0.00%
IIIN,Insteel Industries,410644000,20.15,1.02,19010000,1.87,0.12,0.56%
IIPR,Innovative Industrial Properties,2602481000,27.93,2.78,23480000,1.36,4.68,3.90%
ILPT,Industrial Logistics Properties Trust,1262466000,10.35,0.78,52500000,0.88,1.32,6.82%
INDB,Independent Bk Corp,1862061000,14,3.99,165180000,0.94,1.84,3.26%
INGN,Inogen Inc,620275000,66.7,0.43,20950000,0.79,0,0.00%
INN,Summit Hotel Properties,574992000,11.49,-0.58,82610000,2.06,0,0.00%
INVA,Innoviva Inc,1086922000,4.32,2.06,157290000,0.78,0,0.00%
IOSP,Innospec Inc,1603062000,15.27,4.11,112200000,1.32,1.04,1.59%
IPAR,Inter Parfums Inc,1369794000,36.68,1.14,60250000,0.83,0,0.00%
IRBT,Irobot Corp,2277728000,24.91,3.28,85300000,1.58,0,0.00%
IRDM,Iridium Comm Inc,3525838000,0,-0.33,-162000000,1.4,0,0.00%
IRET,Investors Real Estate Trust,865950000,17.5,5.36,79210000,1.09,2.8,4.15%
IRT,Independence Realty Trust Inc,1138835000,14.6,0.32,45900000,1.04,0.48,3.99%
ITGR,Integer Holdings Corp,2003858000,15.16,4.02,96340000,1.24,0,0.00%
ITRI,Itron Inc,2765565000,28.98,2.36,49010000,1.2,0,0.00%
IVC,Invacare Corp,247473000,0,-0.85,-53330000,1.11,0,0.00%
IVR,Invesco Mortgage Capital Inc,500463000,0,-0.32,364100000,1.31,0.2,7.25%
JBSS,John B Sanfilippo,839370000,15.44,4.7,54110000,0.27,0.65,0.88%
JBT,John Bean Technologies Corp,2739713000,19.15,4.88,129000000,1.45,0.4,0.46%
JJSF,J J Snack Foods,2574066000,59.38,2.23,94820000,0.6,2.3,1.69%
JOE,St. Joe Company,1634003000,42.86,0.55,26780000,1.18,0,0.00%
JRVR,James River Gp HD,1540176000,21.99,1.09,38340000,0.56,1.2,2.38%
KALU,Kaiser Aluminum,1015763000,13.86,4.38,62000000,1.12,2.68,4.17%
KAMN,Kaman Corp,1091068000,18.47,2.1,209830000,1.07,0.8,2.03%
KELYA,Kelly Svcs Cl A,703720000,9.73,1.75,112400000,1.22,0,0.00%
KFY,Korn/Ferry International,1702045000,15.52,1.97,104950000,1.49,0.4,1.29%
KLIC,Kulicke and Soffa,1604130000,31.42,0.81,11650000,1.25,0.48,1.85%
KN,Knowles Corp,1410355000,25.66,0.59,49100000,1.27,0,0.00%
KNSL,Kinsale Capital Group Inc,4644821000,72.7,2.8,63320000,0.72,0.36,0.17%
KOP,Koppers Holdings Inc,489109000,6.87,3.27,66600000,2.05,0,0.00%
KRA,Kraton Performance Polymers Inc,937728000,26.41,1.03,51310000,2.87,0,0.00%
KREF,KKR Real Estate Finance Trust Inc,949972000,8.69,1.76,89970000,0.67,1.72,10.07%
KRG,Kite Realty Group Trust,885110000,7.67,-0.12,-530000,1.16,0.32,3.04%
KTB,Kontoor Brands Inc [Ktb/I],1984468000,15.86,1.97,96650000,1.19,0,0.00%
KWR,Quaker Chemical Corp,3409944000,41.62,4.49,31620000,1.4,1.58,0.82%
LCI,Lannett CO Inc,259023000,5.97,1.07,-33370000,1.46,0,0.00%
LCII,Lci Industries,2818505000,24.81,4.41,146510000,1.64,3,2.68%
LDL,Lydall Inc,366009000,0,-0.05,-70510000,3.06,0,0.00%
LGIH,LGI Homes Inc,2729433000,13.47,8.33,178610000,1.58,0,0.00%
